[2025-06-09 11:15:33] [INFO    ] discord.client: logging in using static token
[2025-06-09 11:15:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-09 11:15:34] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-09 11:15:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1381203952707829790', 'username': 'Mathatatic Bot', 'avatar': '8faf0c9a035be4310ce619f4ac03eb3a', 'discriminator': '8472', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-09 11:15:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-09 11:15:34] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-09 11:15:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1381203952707829790', 'name': 'Mathatatic Bot', 'icon': '8faf0c9a035be4310ce619f4ac03eb3a', 'description': '', 'type': None, 'bot': {'id': '1381203952707829790', 'username': 'Mathatatic Bot', 'avatar': '8faf0c9a035be4310ce619f4ac03eb3a', 'discriminator': '8472', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '1f206be44fce51aae494081529fb8ae2a635e57dac3080822604eff9fb8b4fda', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '720985236028129301', 'username': 'lonely1438', 'avatar': '865e08b5d24a54ea89b76fea859b6848', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 7682002, 'global_name': 'м¢нιкσмαмє', 'avatar_decoration_data': {'asset': 'a_44d96dca4f514777925f23d841f36fac', 'sku_id': '1349486948942745695', 'expires_at': None}, 'collectibles': None, 'banner_color': '#7537d2', 'clan': {'identity_guild_id': '351476683016241162', 'identity_enabled': True, 'tag': 'e308', 'badge': '5410c0c04f21555354039fd700661550'}, 'primary_guild': {'identity_guild_id': '351476683016241162', 'identity_enabled': True, 'tag': 'e308', 'badge': '5410c0c04f21555354039fd700661550'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-09 11:15:35] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-09 11:15:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-6k3t",{"micros":0.0}]']}}
[2025-06-09 11:15:35] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-09 11:15:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
